descripcion,categoria,tipo,cualidad,monto,fecha
compra refresco oxxo,alimentacion,egreso,variable,50,7/20/2026
despensa bodega aurrera,alimentacion,egreso,fijo_vital,1365.16,4/1/2026
refresco en tienda,alimentacion,egreso,variable,112.98,4/1/2026
didi hacia el trabajo,transporte,egreso,variable,92.87,4/1/2026
mensualidad gimnasio smartfit,salud,egreso,fijo_no_vital,400,4/2/2026
starbucks,alimentacion,egreso,variable,46.47,4/2/2026
carga de gasolina,transporte,egreso,fijo_vital,787.59,4/3/2026
antojo en la calle,alimentacion,egreso,variable,70.85,4/3/2026
comida en restaurante,alimentacion,egreso,variable,656.75,4/3/2026
viaje en uber,transporte,egreso,variable,67.42,4/3/2026
pizza por uber eats,alimentacion,egreso,variable,152.33,4/3/2026
pago de renta mensual,vivienda,egreso,fijo_vital,5000,4/5/2026
cena con amigos,alimentacion,egreso,variable,598.69,4/5/2026
refresco en tienda,alimentacion,egreso,variable,47.64,4/6/2026
galletas y papas oxxo,alimentacion,egreso,variable,119,4/7/2026
comida a domicilio,alimentacion,egreso,variable,181.29,4/7/2026
suscripcion netflix standard,ocio,egreso,fijo_no_vital,219,4/8/2026
pizza por uber eats,alimentacion,egreso,variable,171.78,4/8/2026
tacos de canasta,alimentacion,egreso,variable,38.96,4/9/2026
viaje en uber,transporte,egreso,variable,158.44,4/9/2026
recibo de luz cfe,servicios,egreso,fijo_vital,355.6,4/10/2026
carga de gasolina,transporte,egreso,fijo_vital,489.23,4/10/2026
café matutino,alimentacion,egreso,variable,125.6,4/10/2026
spotify premium,ocio,egreso,fijo_no_vital,129,4/11/2026
antojo en la calle,alimentacion,egreso,variable,139.7,4/11/2026
uber de regreso de fiesta,transporte,egreso,variable,343.71,4/11/2026
recibo de agua,servicios,egreso,fijo_vital,285.91,4/12/2026
antojo en la calle,alimentacion,egreso,variable,22.49,4/12/2026
tacos de canasta,alimentacion,egreso,variable,130.97,4/13/2026
pago de quincena,servicios,ingreso,fijo_vital,8494.26,4/15/2026
internet en casa,servicios,egreso,fijo_vital,450,4/15/2026
galletas y papas oxxo,alimentacion,egreso,variable,141.83,4/15/2026
despensa bodega aurrera,alimentacion,egreso,fijo_vital,1596.08,4/16/2026
refresco en tienda,alimentacion,egreso,variable,126.77,4/16/2026
didi hacia el trabajo,transporte,egreso,variable,168.16,4/16/2026
carga de gasolina,transporte,egreso,fijo_vital,712.75,4/17/2026
comida a domicilio,alimentacion,egreso,variable,213.42,4/17/2026
agua embotellada,alimentacion,egreso,variable,129.49,4/18/2026
salida al antro,ocio,egreso,variable,408.63,4/18/2026
tacos de canasta,alimentacion,egreso,variable,125.66,4/19/2026
taxi de emergencia,transporte,egreso,variable,73.69,4/19/2026
galletas y papas oxxo,alimentacion,egreso,variable,117.06,4/20/2026
pago tarjeta de crédito,deudas,egreso,fijo_vital,1054.83,4/20/2026
café matutino,alimentacion,egreso,variable,142.82,4/21/2026
viaje en uber,transporte,egreso,variable,151.52,4/21/2026
pizza por uber eats,alimentacion,egreso,variable,227.11,4/21/2026
refresco en tienda,alimentacion,egreso,variable,43.8,4/23/2026
gasolinera bp,transporte,egreso,fijo_vital,621.83,4/24/2026
galletas y papas oxxo,alimentacion,egreso,variable,45.04,4/24/2026
antojo en la calle,alimentacion,egreso,variable,34.68,4/25/2026
uber de regreso de fiesta,transporte,egreso,variable,340.55,4/26/2026
consulta médica general,salud,egreso,variable,547.31,4/26/2026
refresco en tienda,alimentacion,egreso,variable,123.8,4/27/2026
rappi hamburguesas,alimentacion,egreso,variable,244.38,4/27/2026
galletas y papas oxxo,alimentacion,egreso,variable,71.68,4/28/2026
pizza por uber eats,alimentacion,egreso,variable,297.97,4/29/2026
pago de quincena,servicios,ingreso,fijo_vital,8251.19,4/30/2026
agua embotellada,alimentacion,egreso,variable,87.92,4/30/2026
venta de artículo usado,servicios,ingreso,variable,884.85,4/8/2026
gasolinera bp,transporte,egreso,variable,581.34,5/1/2026
supermercado chedraui,alimentacion,egreso,variable,2144.34,5/1/2026
mensualidad gimnasio smartfit,salud,egreso,variable,400,5/2/2026
starbucks,alimentacion,egreso,variable,64.31,5/2/2026
cinepolis boletos y dulceria,ocio,egreso,variable,445.93,5/2/2026
taxi de emergencia,transporte,egreso,variable,96.79,5/2/2026
galletas y papas oxxo,alimentacion,egreso,variable,114.15,5/3/2026
viaje en uber,transporte,egreso,variable,133.95,5/3/2026
tacos de canasta,alimentacion,egreso,variable,65.12,5/4/2026
pago de renta mensual,vivienda,egreso,fijo_vital,5000,5/5/2026
antojo en la calle,alimentacion,egreso,variable,34.31,5/5/2026
starbucks,alimentacion,egreso,variable,45.84,5/6/2026
agua embotellada,alimentacion,egreso,variable,88.65,5/7/2026
viaje en uber,transporte,egreso,variable,71.31,5/7/2026
suscripción netflix standard,ocio,egreso,fijo_no_vital,219,5/8/2026
gasolina mobil,transporte,egreso,variable,746.27,5/8/2026
uber de regreso de fiesta,transporte,egreso,variable,717.93,5/8/2026
salida al antro,ocio,egreso,variable,493.06,5/9/2026
recibo de luz cfe,servicios,egreso,fijo_vital,281.95,5/10/2026
cinepolis boletos y dulceria,ocio,egreso,variable,516.96,5/10/2026
taxi de emergencia,transporte,egreso,variable,69.4,5/10/2026
spotify premium,ocio,egreso,variable,129,5/11/2026
recibo de agua,servicios,egreso,variable,179.11,5/12/2026
antojo en la calle,alimentacion,egreso,variable,105.75,5/12/2026
galletas y papas oxxo,alimentacion,egreso,variable,135.7,5/13/2026
comida a domicilio,alimentacion,egreso,variable,151.75,5/13/2026
café matutino,alimentacion,egreso,variable,53.33,5/14/2026
pago de quincena,servicios,ingreso,fijo_vital,8243.69,5/15/2026
internet en casa,servicios,egreso,fijo_vital,450,5/15/2026
gasolina mobil,transporte,egreso,fijo_vital,693.29,5/15/2026
agua embotellada,alimentacion,egreso,variable,63.63,5/15/2026
supermercado chedraui,alimentacion,egreso,fijo_vital,1214.38,5/16/2026
starbucks,alimentacion,egreso,variable,115.88,5/16/2026
uber de regreso de fiesta,transporte,egreso,variable,353.12,5/16/2026
didi hacia el trabajo,transporte,egreso,variable,102.27,5/16/2026
agua embotellada,alimentacion,egreso,variable,51.25,5/17/2026
suscripcion disney+,ocio,egreso,fijo_no_vital,179,5/18/2026
antojo en la calle,alimentacion,egreso,variable,61.53,5/18/2026
didi hacia el trabajo,transporte,egreso,variable,89.35,5/19/2026
pizza por uber eats,alimentacion,egreso,variable,180.44,5/19/2026
antojo en la calle,alimentacion,egreso,variable,75.19,5/20/2026
pago tarjeta de crédito,deudas,egreso,fijo_vital,1940.1,5/20/2026
starbucks,alimentacion,egreso,variable,52.17,5/21/2026
viaje en uber,transporte,egreso,variable,93.53,5/21/2026
comida a domicilio,alimentacion,egreso,variable,277.86,5/21/2026
carga de gasolina,transporte,egreso,fijo_vital,622.71,5/22/2026
starbucks,alimentacion,egreso,variable,46.3,5/22/2026
cena con amigos,alimentacion,egreso,variable,714.7,5/23/2026
didi hacia el trabajo,transporte,egreso,variable,132.19,5/23/2026
cena con amigos,alimentacion,egreso,variable,675.41,5/24/2026
antojo en la calle,alimentacion,egreso,variable,25.44,5/25/2026
mensualidad plataforma de cursos,educacion,egreso,variable,339.05,5/25/2026
refresco en tienda,alimentacion,egreso,variable,83.8,5/26/2026
pizza por uber eats,alimentacion,egreso,variable,300.37,5/26/2026
agua embotellada,alimentacion,egreso,variable,32.03,5/28/2026
paracetamol y antigripal,salud,egreso,variable,627.57,5/28/2026
rappi hamburguesas,alimentacion,egreso,variable,211.48,5/28/2026
gasolinera bp,transporte,egreso,fijo_vital,538.08,5/29/2026
café matutino,alimentacion,egreso,variable,115.42,5/29/2026
pago de quincena,servicios,ingreso,fijo_vital,8162.01,5/30/2026
starbucks,alimentacion,egreso,variable,61.52,5/30/2026
galletas y papas oxxo,alimentacion,egreso,variable,106.11,5/31/2026
didi hacia el trabajo,transporte,egreso,variable,165.72,5/31/2026
compras para la casa en soriana,alimentacion,egreso,fijo_vital,1480.83,6/1/2026
galletas y papas oxxo,alimentacion,egreso,variable,35.34,6/1/2026
mensualidad gimnasio smartfit,salud,egreso,fijo_no_vital,400,6/2/2026
refresco en tienda,alimentacion,egreso,variable,127.34,6/2/2026
farmacia san pablo,salud,egreso,variable,532.5,6/2/2026
taxi de emergencia,transporte,egreso,variable,134.43,6/2/2026
agua embotellada,alimentacion,egreso,variable,88.15,6/4/2026
pago de renta mensual,vivienda,egreso,fijo_vital,5000,6/5/2026
gasolina mobil,transporte,egreso,fijo_vital,717.79,6/5/2026
tacos de canasta,alimentacion,egreso,variable,134.3,6/5/2026
cinepolis boletos y dulceria,ocio,egreso,variable,380.77,6/5/2026
